"snapshot_date","snapshot_ts_utc","FreightID","FlightName","BlockDate","AirlinePartnerID","AirlineName","FlightClassID","ClassAlias","DepartureCityID","CityFrom","ArrivalCityID","CityTo","Country","PartnerID","BusinessEntity","hard_block","releasedays","first_reserve_utc","HasStopSale","StopSaleIssueDT_UTC","IsOnRequest","Seats_gross","Sold_gross","Empty","Seats_net","Sold_net","BlockRecords","TotalDaysInSale","ResourceCount","last_stamp"
"2026-03-15",2026-03-15 11:31:47.773,10670,VSV5208,"2026-03-05",157575,SCAT (),2,Y,838396,Cam Ranh,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-07-28 10:05:00.0000000 +00:00",0,\N,0,64,64,0,64,64,2,230,1,\u0000\u0000\u0000\u000b0\u0013Y�
"2026-03-15",2026-03-15 11:31:47.773,13556,VSV5338,"2026-03-05",157575,SCAT (),2,Y,378598,Astana,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-04 03:49:00.0000000 +00:00",0,\N,0,91,91,0,72,72,1,254,1,\u0000\u0000\u0000\u000b7�n�
"2026-03-15",2026-03-15 11:31:47.773,13557,VSV5339,"2026-03-05",157575,SCAT (),2,Y,293967,Phu Quoc,378598,Astana,Kazakhstan,151696,KZ,1,\N,"2025-07-04 03:58:00.0000000 +00:00",0,\N,0,91,91,0,83,83,1,254,1,\u0000\u0000\u0000\u000b3���
"2026-03-15",2026-03-15 11:31:47.773,13586,KC161,"2026-03-05",97318,Air Astana (),2,Y,367408,Almaty,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-18 08:59:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b9\r�}
"2026-03-15",2026-03-15 11:31:47.773,13587,KC162,"2026-03-05",97318,Air Astana (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-07-18 09:03:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b7�ȫ
"2026-03-15",2026-03-15 11:31:47.773,10669,VSV5207,"2026-03-04",157575,SCAT (),2,Y,367408,Almaty,838396,Cam Ranh,Vietnam,151696,KZ,1,\N,"2025-07-04 05:22:00.0000000 +00:00",0,\N,0,64,64,0,64,64,1,254,1,\u0000\u0000\u0000\u000b6��v
"2026-03-15",2026-03-15 11:31:47.773,13507,VSV5320,"2026-03-04",157575,SCAT (),2,Y,367408,Almaty,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-10-10 10:22:00.0000000 +00:00",0,\N,0,92,92,0,92,92,1,156,1,\u0000\u0000\u0000\u000b9\u001a8�
"2026-03-15",2026-03-15 11:31:47.773,13508,VSV5321,"2026-03-04",157575,SCAT (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-06-12 10:46:00.0000000 +00:00",0,\N,0,92,92,0,88,88,1,276,1,\u0000\u0000\u0000\u000b6�Y�
"2026-03-15",2026-03-15 11:31:47.773,13586,KC161,"2026-03-04",97318,Air Astana (),2,Y,367408,Almaty,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-18 08:59:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b8��
"2026-03-15",2026-03-15 11:31:47.773,13587,KC162,"2026-03-04",97318,Air Astana (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-08-08 04:54:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,219,1,\u0000\u0000\u0000\u000b\u000e\u0017\u0000C
"2026-03-15",2026-03-15 11:31:47.773,13898,HH2233,"2026-03-04",195161,Qanot Sharq,2,Y,708693,Tashkent,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-14 09:30:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,244,1,\u0000\u0000\u0000\u000b7\f�H
"2026-03-15",2026-03-15 11:31:47.773,13899,HH2234,"2026-03-04",195161,Qanot Sharq,2,Y,293967,Phu Quoc,708693,Tashkent,Uzbekistan,151696,KZ,1,\N,"2025-07-14 09:40:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,244,1,\u0000\u0000\u0000\u000b5�\u0007W
"2026-03-15",2026-03-15 11:31:47.773,14073,KC174,"2026-03-04",97318,Air Astana (),2,Y,293967,Phu Quoc,378598,Astana,Kazakhstan,151696,KZ,1,\N,"2025-07-18 08:46:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b7�\u0012E
"2026-03-15",2026-03-15 11:31:47.773,15603,VSV5337,"2026-03-04",157575,SCAT (),2,Y,838396,Cam Ranh,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-08-02 09:07:00.0000000 +00:00",0,\N,0,64,64,0,64,64,1,225,1,\u0000\u0000\u0000\u000b1Tx�
"2026-03-15",2026-03-15 11:31:47.773,12848,VSV5354,"2026-03-03",157575,SCAT (),2,Y,378598,Astana,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-10-08 04:12:00.0000000 +00:00",0,\N,0,91,91,0,91,91,1,158,1,\u0000\u0000\u0000\u000b6�J�
"2026-03-15",2026-03-15 11:31:47.773,12849,VSV5355,"2026-03-03",157575,SCAT (),2,Y,293967,Phu Quoc,378598,Astana,Kazakhstan,151696,KZ,1,\N,"2025-07-28 08:12:00.0000000 +00:00",0,\N,0,91,91,0,86,86,1,230,1,\u0000\u0000\u0000\u000b+\u0017o\n
"2026-03-15",2026-03-15 11:31:47.773,13507,VSV5320,"2026-03-03",157575,SCAT (),2,Y,367408,Almaty,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-06-12 10:39:00.0000000 +00:00",1,"2026-03-01 19:00:00.0000000 +00:00",0,92,91,1,92,91,1,276,1,\u0000\u0000\u0000\u000b6ѶJ
"2026-03-15",2026-03-15 11:31:47.773,13586,KC161,"2026-03-03",97318,Air Astana (),2,Y,367408,Almaty,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-08-08 04:36:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,219,1,\u0000\u0000\u0000\u000b5�Q�
"2026-03-15",2026-03-15 11:31:47.773,13587,KC162,"2026-03-03",97318,Air Astana (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-07-18 09:03:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b6\u0001Qy
"2026-03-15",2026-03-15 11:31:47.773,14072,KC173,"2026-03-03",97318,Air Astana (),2,Y,378598,Astana,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-18 08:36:00.0000000 +00:00",1,"2026-03-02 19:00:00.0000000 +00:00",0,40,39,1,40,39,1,240,1,\u0000\u0000\u0000\u000b\u0018e��
"2026-03-15",2026-03-15 11:31:47.773,14861,VSV5303,"2026-03-03",157575,SCAT (),2,Y,745679,Ural`sk,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-11 10:50:00.0000000 +00:00",0,\N,0,50,50,0,46,46,1,247,1,\u0000\u0000\u0000\u000b\u0016ȑ�
"2026-03-15",2026-03-15 11:31:47.773,14864,VSV5302,"2026-03-03",157575,SCAT (),2,Y,293967,Phu Quoc,745679,Ural`sk,Kazakhstan,151696,KZ,1,\N,"2025-05-29 03:18:00.0000000 +00:00",0,\N,0,50,50,0,50,50,1,290,1,\u0000\u0000\u0000\u000b\u0011x��
"2026-03-15",2026-03-15 11:31:47.773,15602,VSV5336,"2026-03-03",157575,SCAT (),2,Y,367408,Almaty,838396,Cam Ranh,Vietnam,151696,KZ,1,\N,"2025-09-15 04:54:00.0000000 +00:00",0,\N,0,64,64,0,64,64,1,181,1,\u0000\u0000\u0000\u000b3�\u000b\u0007
"2026-03-15",2026-03-15 11:31:47.773,12523,VSV5319,"2026-03-02",157575,SCAT (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-09-12 04:06:00.0000000 +00:00",0,\N,0,92,92,0,92,92,1,184,1,\u0000\u0000\u0000\u000b4���
"2026-03-15",2026-03-15 11:31:47.773,13586,KC161,"2026-03-02",97318,Air Astana (),2,Y,367408,Almaty,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-18 08:59:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b6��8
"2026-03-15",2026-03-15 11:31:47.773,13587,KC162,"2026-03-02",97318,Air Astana (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-07-18 09:03:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b\u0012\u0017��
"2026-03-15",2026-03-15 11:31:47.773,14073,KC174,"2026-03-02",97318,Air Astana (),2,Y,293967,Phu Quoc,378598,Astana,Kazakhstan,151696,KZ,1,\N,"2025-07-18 08:46:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b5\u0006��
"2026-03-15",2026-03-15 11:31:47.773,15603,VSV5337,"2026-03-02",157575,SCAT (),2,Y,838396,Cam Ranh,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-09-15 05:12:00.0000000 +00:00",0,\N,0,64,64,0,64,64,1,181,1,\u0000\u0000\u0000\u000b0]x\u0002
"2026-03-15",2026-03-15 11:31:47.773,12522,VSV5318,"2026-03-01",157575,SCAT (),2,Y,367408,Almaty,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-09-09 09:03:00.0000000 +00:00",0,\N,0,92,92,0,90,90,1,187,1,\u0000\u0000\u0000\u000b4�\r6
"2026-03-15",2026-03-15 11:31:47.773,13508,VSV5321,"2026-03-01",157575,SCAT (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-06-12 10:46:00.0000000 +00:00",0,\N,0,92,92,0,92,92,1,276,1,\u0000\u0000\u0000\u000b2y�
"2026-03-15",2026-03-15 11:31:47.773,13556,VSV5338,"2026-03-01",157575,SCAT (),2,Y,378598,Astana,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-04 03:49:00.0000000 +00:00",0,\N,0,91,91,0,78,78,1,254,1,\u0000\u0000\u0000\u000b&�[�
"2026-03-15",2026-03-15 11:31:47.773,13557,VSV5339,"2026-03-01",157575,SCAT (),2,Y,293967,Phu Quoc,378598,Astana,Kazakhstan,151696,KZ,1,\N,"2025-07-28 07:36:00.0000000 +00:00",0,\N,0,91,91,0,83,83,1,230,1,\u0000\u0000\u0000\u000b\u001c���
"2026-03-15",2026-03-15 11:31:47.773,13586,KC161,"2026-03-01",97318,Air Astana (),2,Y,367408,Almaty,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-18 08:59:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b3�9�
"2026-03-15",2026-03-15 11:31:47.773,13587,KC162,"2026-03-01",97318,Air Astana (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-07-18 09:03:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b2{Y�
